"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-19",,,,"1.07","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-20",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-22",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-23",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-26",,,,"2.61","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-27",,,,"0.06","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-31",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-01",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-03",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-05",,,,"0.35","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-06",,,,"0.10","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-07",,,,"0.27","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-08",,,,"0.65","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-09",,,,"0.29","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-11",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-12",,,,"0.13","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-14",,,,"0.34","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-15",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-16",,,,"0.31","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-17",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-19",,,,"0.35","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-20",,,,"1.55","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-21",,,,"0.92","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-22",,,,"0.03","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-23",,,,"1.14","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-26",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-27",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-08-31",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-03",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-05",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-06",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-07",,,,"0.16","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-08",,,,"0.11","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-09",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-11",,,,"0.38","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-17",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-19",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-22",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-23",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-26",,,,"0.68","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-27",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-09-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-01",,,,"0.44","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-02",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-03",,,,"0.06","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-05",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-06",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-07",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-08",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-09",,,,"0.18","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-11",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-10-13",,,,"0.00","0.0",,,,
