STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/16/1948,,,,,0,0,0,,62,38,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/17/1948,,,,,0,0,0,,59,33,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/18/1948,,,,,0,0,0,,78,46,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/19/1948,,,,,0,0,0,,81,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/20/1948,,,,,0,0,0,,71,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/21/1948,,,,,0,0,0,,58,39,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/22/1948,,,,,0,0,0,,63,39,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/23/1948,,,,,0.18,0,0,,83,49,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/24/1948,,,,,0.1,0,0,,84,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/25/1948,,,,,0,0,0,,85,60,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/26/1948,,,,,0.01,0,0,,75,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/27/1948,,,,,0.44,0,0,,71,54,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/28/1948,,,,,0,0,0,,55,45,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/29/1948,,,,,0,0,0,,51,40,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/30/1948,,,,,0.01,0,0,,61,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/1/1948,,,,,0.05,0,0,,65,46,
